brand,model,model_date_start,model_date_end,type,type_date_start,type_date_end,kw,cv,category,product_line,part_number,diameter,thickness,height,width,number_of_holes,brake_disc_type,centering,min_thickness,tightening_torque,units_per_box,braking_system,wear_indicator,wva_number,fmsi,accessories,position
DS,DS 3 Convertible (SB_),07/15,07/19,1.6 THP 165,07/15,07/19,121,165,Brake discs,Prime,09.8695.11,266mm,22mm,34mm,,4,Ventilated,66mm,20mm,90Nm,2,,,,,,
DS,DS 3 Convertible (SB_),07/15,07/19,1.6 THP 165,07/15,07/19,121,165,Brake discs,Max,09.8695.75,266mm,22mm,34mm,,4,Ventilated,66mm,20mm,90Nm,2,,,,,,
DS,DS 3 Convertible (SB_),07/15,07/19,1.6 THP 165,07/15,07/19,121,165,Brake discs,Xtra,09.8695.1X,266mm,22mm,34mm,,4,Ventilated,66mm,20mm,90Nm,2,,,,,,
DS,DS 3 Convertible (SB_),07/15,07/19,1.6 THP 165,07/15,07/19,121,165,Brake discs,Prime,09.9619.11,283mm,26mm,34mm,,4,Ventilated,66mm,24mm,90Nm,2,,,,,,
DS,DS 3 Convertible (SB_),07/15,07/19,1.6 THP 165,07/15,07/19,121,165,Brake discs,Xtra,09.8403.5X,323mm,28mm,"34,2mm",,4,Ventilated,66mm,"26,5mm",,1,,,,,,
DS,DS 3 Convertible (SB_),07/15,07/19,1.6 THP 165,07/15,07/19,121,165,Brake discs,Prime,08.9512.27,249mm,9mm,69mm,,4,Solid,30mm,7mm,90Nm,1,,,,,,
DS,DS 3 Convertible (SB_),07/15,07/19,1.6 THP 165,07/15,07/19,121,165,Brake pads,Prime,P 61 066,,19mm,52mm,137mm,,,,,,,Bosch,Without,23954,"D1213 8333, D1213 8933, D1570 8779, D1943 8779, D1943 9263",With accessoriesWith anti-squeal shimWith brake caliper bolts,
DS,DS 3 Convertible (SB_),07/15,07/19,1.6 THP 165,07/15,07/19,121,165,Brake pads,Prime Ceramic,P61066N,,19mm,52mm,137mm,,,,,,,Bosch,Without,23954,"D1213 8333, D1213 8933, D1570 8779, D1943 8779, D1943 9263",With accessoriesWith anti-squeal shimWith brake caliper bolts,
DS,DS 3 Convertible (SB_),07/15,07/19,1.6 THP 165,07/15,07/19,121,165,Brake pads,Xtra,P 61 066X,,19mm,52mm,137mm,,,,,,,Bosch,Without,23954,"D1213 8333, D1213 8933, D1570 8779, D1943 8779, D1943 9263",With accessoriesWith anti-squeal shimWith brake caliper bolts,
DS,DS 3 Convertible (SB_),07/15,07/19,1.6 THP 165,07/15,07/19,121,165,Brake pads,Prime,P 61 103,,18mm,59mm,137mm,,,,,,,Bosch,Without,24883,D1933 9156,With accessoriesWith anti-squeal shimWith brake caliper bolts,
DS,DS 3 Convertible (SB_),07/15,07/19,1.6 THP 165,07/15,07/19,121,165,Brake pads,Prime Ceramic,P61103N,,18mm,59mm,137mm,,,,,,,Bosch,Without,24883,D1933 9156,With accessoriesWith anti-squeal shimWith brake caliper bolts,
DS,DS 3 Convertible (SB_),07/15,07/19,1.6 THP 165,07/15,07/19,121,165,Brake pads,Prime,P 85 020,,17mm,53mm,87mm,,,,,,,Lucas,Without,"20961, 23554","D1017 7920, D1023 7773, D1112 7773, D340 7335, D894 7773",With accessoriesWith anti-squeal shimWith brake caliper bolts,
DS,DS 3 Convertible (SB_),07/15,07/19,1.6 THP 165,07/15,07/19,121,165,Brake pads,Prime Ceramic,P85020N,,17mm,53mm,87mm,,,,,,,Lucas,Without,"20961, 23554","D1017 7920, D1023 7773, D1112 7773, D340 7335, D894 7773",With accessoriesWith anti-squeal shimWith brake caliper bolts,
DS,DS 3 Convertible (SB_),07/15,07/19,1.6 THP 165,07/15,07/19,121,165,Brake pads,Xtra,P 85 020X,,17mm,53mm,87mm,,,,,,,Lucas,Without,"20961, 23554","D1017 7920, D1023 7773, D1112 7773, D340 7335, D894 7773",With accessoriesWith anti-squeal shimWith brake caliper bolts,
DS,DS 3 Convertible (SB_),07/15,07/19,1.6 THP 165,07/15,07/19,121,165,Brake pads,Prime,P 36 020,,15mm,69mm,110mm,,,,,,,Brembo,Without,21381,D592 7831,With anti-squeal shim,
DS,DS 3 Convertible (SB_),07/15,07/19,1.6 THP 165,07/15,07/19,121,165,Brake pads,Prime Ceramic,P36020N,,15mm,69mm,110mm,,,,,,,Brembo,Without,21381,D592 7831,With anti-squeal shim,
DS,DS 3 Convertible (SB_),07/15,07/19,1.6 THP 165,07/15,07/19,121,165,Brake pads,Xtra,P 36 020X,,15mm,69mm,110mm,,,,,,,Brembo,Without,21381,D592 7831,With anti-squeal shim,
DS,DS 4 / DS 4 CROSSBACK (NX_),07/15,12/18,1.6 THP 165,07/15,12/18,121,165,Brake discs,Prime,09.A185.11,302mm,26mm,34mm,,4,Ventilated,66mm,24mm,90Nm,2,,,,,,
DS,DS 4 / DS 4 CROSSBACK (NX_),07/15,12/18,1.6 THP 165,07/15,12/18,121,165,Brake discs,Xtra,09.A185.1X,302mm,26mm,34mm,,4,Ventilated,66mm,24mm,90Nm,2,,,,,,
DS,DS 4 / DS 4 CROSSBACK (NX_),07/15,12/18,1.6 THP 165,07/15,12/18,121,165,Brake discs,Prime,08.8682.21,290mm,12mm,35mm,,4,Solid,71mm,10mm,90Nm,2,,,,,,
DS,DS 4 / DS 4 CROSSBACK (NX_),07/15,12/18,1.6 THP 165,07/15,12/18,121,165,Brake discs,Prime,08.A729.17,268mm,12mm,73mm,,4,Solid,30mm,10mm,90Nm,1,,,,,,
DS,DS 4 / DS 4 CROSSBACK (NX_),07/15,12/18,1.6 THP 165,07/15,12/18,121,165,Brake pads,Prime,P 61 086,,18mm,67 - 72mm,155mm,,,,,,,Teves,Without,"24557, 24558",D1749 8979,With accessoriesWith anti-squeal shimWith piston clip,
DS,DS 4 / DS 4 CROSSBACK (NX_),07/15,12/18,1.6 THP 165,07/15,12/18,121,165,Brake pads,Prime Ceramic,P61086N,,18mm,67 - 72mm,155mm,,,,,,,Teves,Without,"24557, 24558",D1749 8979,With accessoriesWith anti-squeal shimWith piston clip,
DS,DS 4 / DS 4 CROSSBACK (NX_),07/15,12/18,1.6 THP 165,07/15,12/18,121,165,Brake pads,Prime,P 61 117,,18mm,67 - 72mm,155mm,,,,,,,Teves,Without,"24332, 24558",D1749 8979,With accessoriesWith anti-squeal shimWith piston clip,
DS,DS 4 / DS 4 CROSSBACK (NX_),07/15,12/18,1.6 THP 165,07/15,12/18,121,165,Brake pads,Prime Ceramic,P61117N,,18mm,67 - 72mm,155mm,,,,,,,Teves,Without,"24332, 24558",D1749 8979,With accessoriesWith anti-squeal shimWith piston clip,
DS,DS 4 / DS 4 CROSSBACK (NX_),07/15,12/18,1.6 THP 165,07/15,12/18,121,165,Brake pads,Prime,P 06 102,,16mm,56mm,104mm,,,,,,,Lucas,Without,24922,D1831 9062,With accessoriesWith anti-squeal shimWith brake caliper bolts,
DS,DS 4 / DS 4 CROSSBACK (NX_),07/15,12/18,1.6 THP 165,07/15,12/18,121,165,Brake pads,Prime Ceramic,P06102N,,16mm,56mm,104mm,,,,,,,Lucas,Without,24922,D1831 9062,With accessoriesWith anti-squeal shimWith brake caliper bolts,
DS,DS 4 / DS 4 CROSSBACK (NX_),07/15,12/18,1.6 THP 165,07/15,12/18,121,165,Brake pads,Prime,P 61 114,,17mm,56mm,104mm,,,,,,,Lucas,Without,24922,D1831 9062,With accessoriesWith anti-squeal shimWith brake caliper bolts,
DS,DS 4 / DS 4 CROSSBACK (NX_),07/15,12/18,1.6 THP 165,07/15,12/18,121,165,Brake pads,Prime Ceramic,P61114N,,17mm,56mm,104mm,,,,,,,Lucas,Without,24922,D1831 9062,With accessoriesWith anti-squeal shimWith brake caliper bolts,
DS,DS 4 / DS 4 CROSSBACK (NX_),07/15,12/18,1.6 THP 165,07/15,12/18,121,165,Brake pads,Xtra,P 61 114X,,17mm,56mm,104mm,,,,,,,Lucas,Without,24922,D1831 9062,With accessoriesWith anti-squeal shimWith brake caliper bolts,
DS,DS 5 (KF_),01/15,12/18,1.6 BlueHDi 115,06/15,12/18,85,116,Brake discs,Prime,09.9619.11,283mm,26mm,34mm,,4,Ventilated,66mm,24mm,90Nm,2,,,,,,
DS,DS 5 (KF_),01/15,12/18,1.6 BlueHDi 115,06/15,12/18,85,116,Brake discs,Prime,09.A829.21,340mm,30mm,34mm,,4,Ventilated,71mm,28mm,100Nm,1,,,,,,
DS,DS 5 (KF_),01/15,12/18,1.6 BlueHDi 115,06/15,12/18,85,116,Brake discs,Prime,08.A729.17,268mm,12mm,73mm,,4,Solid,30mm,10mm,90Nm,1,,,,,,
DS,DS 5 (KF_),01/15,12/18,1.6 BlueHDi 115,06/15,12/18,85,116,Brake pads,Prime,P 61 083,,18mm,58 - 65mm,155mm,,,,,,,Teves,Without,"24538, 24539","D1717 8942, D2095 9330",With accessoriesWith anti-squeal shimWith piston clip,
DS,DS 5 (KF_),01/15,12/18,1.6 BlueHDi 115,06/15,12/18,85,116,Brake pads,Prime Ceramic,P61083N,,18mm,58 - 65mm,155mm,,,,,,,Teves,Without,"24538, 24539","D1717 8942, D2095 9330",With accessoriesWith anti-squeal shimWith piston clip,
DS,DS 5 (KF_),01/15,12/18,1.6 BlueHDi 115,06/15,12/18,85,116,Brake pads,Prime,P 61 086,,18mm,67 - 72mm,155mm,,,,,,,Teves,Without,"24557, 24558",D1749 8979,With accessoriesWith anti-squeal shimWith piston clip,
DS,DS 5 (KF_),01/15,12/18,1.6 BlueHDi 115,06/15,12/18,85,116,Brake pads,Prime Ceramic,P61086N,,18mm,67 - 72mm,155mm,,,,,,,Teves,Without,"24557, 24558",D1749 8979,With accessoriesWith anti-squeal shimWith piston clip,
DS,DS 5 (KF_),01/15,12/18,1.6 BlueHDi 115,06/15,12/18,85,116,Brake pads,Prime,P 61 117,,18mm,67 - 72mm,155mm,,,,,,,Teves,Without,"24332, 24558",D1749 8979,With accessoriesWith anti-squeal shimWith piston clip,
DS,DS 5 (KF_),01/15,12/18,1.6 BlueHDi 115,06/15,12/18,85,116,Brake pads,Prime Ceramic,P61117N,,18mm,67 - 72mm,155mm,,,,,,,Teves,Without,"24332, 24558",D1749 8979,With accessoriesWith anti-squeal shimWith piston clip,
DS,DS 5 (KF_),01/15,12/18,1.6 BlueHDi 115,06/15,12/18,85,116,Brake pads,Prime,P 61 115,,17mm,75mm,180mm,,,,,,,Teves,Prepared for wear indicator,"25069, 25070",D1966 9191,With accessoriesWith anti-squeal shimWith piston clip,
DS,DS 5 (KF_),01/15,12/18,1.6 BlueHDi 115,06/15,12/18,85,116,Brake pads,Prime Ceramic,P61115N,,17mm,75mm,180mm,,,,,,,Teves,Prepared for wear indicator,"25069, 25070",D1966 9191,With accessoriesWith anti-squeal shimWith piston clip,
DS,DS 5 (KF_),01/15,12/18,1.6 BlueHDi 115,06/15,12/18,85,116,Brake pads,Prime,P 06 102,,16mm,56mm,104mm,,,,,,,Lucas,Without,24922,D1831 9062,With accessoriesWith anti-squeal shimWith brake caliper bolts,
DS,DS 5 (KF_),01/15,12/18,1.6 BlueHDi 115,06/15,12/18,85,116,Brake pads,Prime Ceramic,P06102N,,16mm,56mm,104mm,,,,,,,Lucas,Without,24922,D1831 9062,With accessoriesWith anti-squeal shimWith brake caliper bolts,
DS,DS 5 (KF_),01/15,12/18,1.6 BlueHDi 115,06/15,12/18,85,116,Brake pads,Prime,P 61 114,,17mm,56mm,104mm,,,,,,,Lucas,Without,24922,D1831 9062,With accessoriesWith anti-squeal shimWith brake caliper bolts,
DS,DS 5 (KF_),01/15,12/18,1.6 BlueHDi 115,06/15,12/18,85,116,Brake pads,Prime Ceramic,P61114N,,17mm,56mm,104mm,,,,,,,Lucas,Without,24922,D1831 9062,With accessoriesWith anti-squeal shimWith brake caliper bolts,
DS,DS 5 (KF_),01/15,12/18,1.6 BlueHDi 115,06/15,12/18,85,116,Brake pads,Xtra,P 61 114X,,17mm,56mm,104mm,,,,,,,Lucas,Without,24922,D1831 9062,With accessoriesWith anti-squeal shimWith brake caliper bolts,
DS,DS 5 (KF_),01/15,12/18,2.0 BlueHDi 180,04/15,12/18,133,180,Brake discs,Prime,09.A185.11,302mm,26mm,34mm,,4,Ventilated,66mm,24mm,90Nm,2,,,,,,
DS,DS 5 (KF_),01/15,12/18,2.0 BlueHDi 180,04/15,12/18,133,180,Brake discs,Xtra,09.A185.1X,302mm,26mm,34mm,,4,Ventilated,66mm,24mm,90Nm,2,,,,,,
DS,DS 5 (KF_),01/15,12/18,2.0 BlueHDi 180,04/15,12/18,133,180,Brake discs,Prime,09.A829.21,340mm,30mm,34mm,,4,Ventilated,71mm,28mm,100Nm,1,,,,,,
DS,DS 5 (KF_),01/15,12/18,2.0 BlueHDi 180,04/15,12/18,133,180,Brake discs,Prime,08.8682.21,290mm,12mm,35mm,,4,Solid,71mm,10mm,90Nm,2,,,,,,
DS,DS 5 (KF_),01/15,12/18,2.0 BlueHDi 180,04/15,12/18,133,180,Brake pads,Prime,P 61 086,,18mm,67 - 72mm,155mm,,,,,,,Teves,Without,"24557, 24558",D1749 8979,With accessoriesWith anti-squeal shimWith piston clip,
DS,DS 5 (KF_),01/15,12/18,2.0 BlueHDi 180,04/15,12/18,133,180,Brake pads,Prime Ceramic,P61086N,,18mm,67 - 72mm,155mm,,,,,,,Teves,Without,"24557, 24558",D1749 8979,With accessoriesWith anti-squeal shimWith piston clip,
DS,DS 5 (KF_),01/15,12/18,2.0 BlueHDi 180,04/15,12/18,133,180,Brake pads,Prime,P 61 117,,18mm,67 - 72mm,155mm,,,,,,,Teves,Without,"24332, 24558",D1749 8979,With accessoriesWith anti-squeal shimWith piston clip,
DS,DS 5 (KF_),01/15,12/18,2.0 BlueHDi 180,04/15,12/18,133,180,Brake pads,Prime Ceramic,P61117N,,18mm,67 - 72mm,155mm,,,,,,,Teves,Without,"24332, 24558",D1749 8979,With accessoriesWith anti-squeal shimWith piston clip,
DS,DS 5 (KF_),01/15,12/18,2.0 BlueHDi 180,04/15,12/18,133,180,Brake pads,Prime,P 61 115,,17mm,75mm,180mm,,,,,,,Teves,Prepared for wear indicator,"25069, 25070",D1966 9191,With accessoriesWith anti-squeal shimWith piston clip,
DS,DS 5 (KF_),01/15,12/18,2.0 BlueHDi 180,04/15,12/18,133,180,Brake pads,Prime Ceramic,P61115N,,17mm,75mm,180mm,,,,,,,Teves,Prepared for wear indicator,"25069, 25070",D1966 9191,With accessoriesWith anti-squeal shimWith piston clip,
DS,DS 5 (KF_),01/15,12/18,2.0 BlueHDi 180,04/15,12/18,133,180,Brake pads,Prime,P 06 102,,16mm,56mm,104mm,,,,,,,Lucas,Without,24922,D1831 9062,With accessoriesWith anti-squeal shimWith brake caliper bolts,
DS,DS 5 (KF_),01/15,12/18,2.0 BlueHDi 180,04/15,12/18,133,180,Brake pads,Prime Ceramic,P06102N,,16mm,56mm,104mm,,,,,,,Lucas,Without,24922,D1831 9062,With accessoriesWith anti-squeal shimWith brake caliper bolts,
