brand,model,model_date_start,model_date_end,type,type_date_start,type_date_end,kw,cv,category,product_line,part_number,diameter,thickness,height,width,number_of_holes,brake_disc_type,centering,min_thickness,tightening_torque,units_per_box,braking_system,wear_indicator,wva_number,fmsi,accessories,position,max_diameter
ISUZU,"D-MAX I (TFR, TFS)",05/02,12/12,3.0 DiTD (TFR85_),01/07,06/12,120,163,Brake discs,Prime,09.B267.10,280mm,27mm,40mm,,6,Ventilated,88mm,"25,6mm",118Nm,2,,,,,,,
ISUZU,"D-MAX I (TFR, TFS)",05/02,12/12,3.0 DiTD (TFR85_),01/07,06/12,120,163,Brake discs,Xtra,09.B267.1X,280mm,27mm,40mm,,6,Ventilated,88mm,"25,6mm",118Nm,2,,,,,,,
ISUZU,"D-MAX I (TFR, TFS)",05/02,12/12,3.0 DiTD (TFR85_),01/07,06/12,120,163,Brake pads,Prime,P 34 007,,17mm,61mm,152mm,,,,,,,Akebono,Acoustic,"25149, 25150, 25151",D1677 8906,With accessoriesWith anti-squeal shim,,
ISUZU,"D-MAX I (TFR, TFS)",05/02,12/12,3.0 DiTD (TFR85_),01/07,06/12,120,163,Brake pads,Prime Ceramic,P34007N,,17mm,61mm,152mm,,,,,,,Akebono,Acoustic,"25149, 25150, 25151",D1677 8906,With accessoriesWith anti-squeal shim,,
ISUZU,"D-MAX I (TFR, TFS)",05/02,12/12,3.0 DiTD (TFR85_),01/07,06/12,120,163,Brake pads,Prime,P 34 005,,16mm,54mm,167mm,,,,,,,Sumitomo,Acoustic,"24370, 24595",D1039 7943,With anti-squeal shim,,
ISUZU,"D-MAX I (TFR, TFS)",05/02,12/12,3.0 DiTD (TFR85_),01/07,06/12,120,163,Brake pads,Prime Ceramic,P34005N,,16mm,54mm,167mm,,,,,,,Sumitomo,Acoustic,"24370, 24595",D1039 7943,With anti-squeal shim,,
ISUZU,"D-MAX I (TFR, TFS)",05/02,12/12,3.0 DiTD (TFR85_),01/07,06/12,120,163,Brake pads,Prime,P 59 021,,16mm,43mm,110mm,,,,,,,Sumitomo,Acoustic,"21875, 21876, 21877",D580 7460,With anti-squeal shim,,
ISUZU,"D-MAX I (TFR, TFS)",05/02,12/12,3.0 DiTD (TFR85_),01/07,06/12,120,163,Brake pads,Prime Ceramic,P59021N,,16mm,43mm,110mm,,,,,,,Sumitomo,Acoustic,"21875, 21876, 21877",D580 7460,With anti-squeal shim,,
ISUZU,"D-MAX I (TFR, TFS)",05/02,12/12,3.0 DiTD (TFR85_),01/07,06/12,120,163,Drums,Essential,14.D629.10,"254,1mm",,"70,5mm","60,5mm",6,,101mm,,,,,,,,,,"255,5mm"
ISUZU,"D-MAX I (TFR, TFS)",05/02,12/12,3.0 DiTD (TFR85_),01/07,06/12,120,163,Drums,Essential,14.D630.10,"295,1mm",,"80,4mm","60,5mm",6,,101mm,,,,,,,,,,"296,5mm"
ISUZU,"D-MAX I (TFR, TFS)",05/02,12/12,3.0 DiTD 4x4 (TFS85_),01/07,06/12,120,163,Brake discs,Prime,09.B267.10,280mm,27mm,40mm,,6,Ventilated,88mm,"25,6mm",118Nm,2,,,,,,,
ISUZU,"D-MAX I (TFR, TFS)",05/02,12/12,3.0 DiTD 4x4 (TFS85_),01/07,06/12,120,163,Brake discs,Xtra,09.B267.1X,280mm,27mm,40mm,,6,Ventilated,88mm,"25,6mm",118Nm,2,,,,,,,
ISUZU,"D-MAX I (TFR, TFS)",05/02,12/12,3.0 DiTD 4x4 (TFS85_),01/07,06/12,120,163,Brake pads,Prime,P 34 007,,17mm,61mm,152mm,,,,,,,Akebono,Acoustic,"25149, 25150, 25151",D1677 8906,With accessoriesWith anti-squeal shim,,
ISUZU,"D-MAX I (TFR, TFS)",05/02,12/12,3.0 DiTD 4x4 (TFS85_),01/07,06/12,120,163,Brake pads,Prime Ceramic,P34007N,,17mm,61mm,152mm,,,,,,,Akebono,Acoustic,"25149, 25150, 25151",D1677 8906,With accessoriesWith anti-squeal shim,,
ISUZU,"D-MAX I (TFR, TFS)",05/02,12/12,3.0 DiTD 4x4 (TFS85_),01/07,06/12,120,163,Brake pads,Prime,P 34 005,,16mm,54mm,167mm,,,,,,,Sumitomo,Acoustic,"24370, 24595",D1039 7943,With anti-squeal shim,,
ISUZU,"D-MAX I (TFR, TFS)",05/02,12/12,3.0 DiTD 4x4 (TFS85_),01/07,06/12,120,163,Brake pads,Prime Ceramic,P34005N,,16mm,54mm,167mm,,,,,,,Sumitomo,Acoustic,"24370, 24595",D1039 7943,With anti-squeal shim,,
ISUZU,"D-MAX I (TFR, TFS)",05/02,12/12,3.0 DiTD 4x4 (TFS85_),01/07,06/12,120,163,Brake pads,Prime,P 59 021,,16mm,43mm,110mm,,,,,,,Sumitomo,Acoustic,"21875, 21876, 21877",D580 7460,With anti-squeal shim,,
ISUZU,"D-MAX I (TFR, TFS)",05/02,12/12,3.0 DiTD 4x4 (TFS85_),01/07,06/12,120,163,Brake pads,Prime Ceramic,P59021N,,16mm,43mm,110mm,,,,,,,Sumitomo,Acoustic,"21875, 21876, 21877",D580 7460,With anti-squeal shim,,
ISUZU,"D-MAX I (TFR, TFS)",05/02,12/12,3.0 DiTD 4x4 (TFS85_),01/07,06/12,120,163,Drums,Essential,14.D630.10,"295,1mm",,"80,4mm","60,5mm",6,,101mm,,,,,,,,,,"296,5mm"
ISUZU,"D-MAX I Platform/Chassis (TFR, TFS)",10/06,10/12,3.0 D 4x4,01/07,06/12,120,163,Brake discs,Prime,09.B267.10,280mm,27mm,40mm,,6,Ventilated,88mm,"25,6mm",118Nm,2,,,,,,,
ISUZU,"D-MAX I Platform/Chassis (TFR, TFS)",10/06,10/12,3.0 D 4x4,01/07,06/12,120,163,Brake discs,Xtra,09.B267.1X,280mm,27mm,40mm,,6,Ventilated,88mm,"25,6mm",118Nm,2,,,,,,,
ISUZU,"D-MAX I Platform/Chassis (TFR, TFS)",10/06,10/12,3.0 D 4x4,01/07,06/12,120,163,Brake pads,Prime,P 34 007,,17mm,61mm,152mm,,,,,,,Akebono,Acoustic,"25149, 25150, 25151",D1677 8906,With accessoriesWith anti-squeal shim,,
ISUZU,"D-MAX I Platform/Chassis (TFR, TFS)",10/06,10/12,3.0 D 4x4,01/07,06/12,120,163,Brake pads,Prime Ceramic,P34007N,,17mm,61mm,152mm,,,,,,,Akebono,Acoustic,"25149, 25150, 25151",D1677 8906,With accessoriesWith anti-squeal shim,,
ISUZU,"D-MAX I Platform/Chassis (TFR, TFS)",10/06,10/12,3.0 D 4x4,01/07,06/12,120,163,Brake pads,Prime,P 34 005,,16mm,54mm,167mm,,,,,,,Sumitomo,Acoustic,"24370, 24595",D1039 7943,With anti-squeal shim,,
ISUZU,"D-MAX I Platform/Chassis (TFR, TFS)",10/06,10/12,3.0 D 4x4,01/07,06/12,120,163,Brake pads,Prime Ceramic,P34005N,,16mm,54mm,167mm,,,,,,,Sumitomo,Acoustic,"24370, 24595",D1039 7943,With anti-squeal shim,,
ISUZU,"D-MAX I Platform/Chassis (TFR, TFS)",10/06,10/12,3.0 D 4x4,01/07,06/12,120,163,Drums,Essential,14.D630.10,"295,1mm",,"80,4mm","60,5mm",6,,101mm,,,,,,,,,,"296,5mm"
ISUZU,"D-MAX II (TFR, TFS)",06/12,>,3.0 CRDi (TFR85J),06/12,>,130,177,Brake discs,Prime,09.B267.10,280mm,27mm,40mm,,6,Ventilated,88mm,"25,6mm",118Nm,2,,,,,,
ISUZU,"D-MAX II (TFR, TFS)",06/12,>,3.0 CRDi (TFR85J),06/12,>,130,177,Brake discs,Xtra,09.B267.1X,280mm,27mm,40mm,,6,Ventilated,88mm,"25,6mm",118Nm,2,,,,,,
ISUZU,"D-MAX II (TFR, TFS)",06/12,>,3.0 CRDi (TFR85J),06/12,>,130,177,Brake pads,Prime,P 34 007,,17mm,61mm,152mm,,,,,,,Akebono,Acoustic,"25149, 25150, 25151",D1677 8906,With accessoriesWith anti-squeal shim,
ISUZU,"D-MAX II (TFR, TFS)",06/12,>,3.0 CRDi (TFR85J),06/12,>,130,177,Brake pads,Prime Ceramic,P34007N,,17mm,61mm,152mm,,,,,,,Akebono,Acoustic,"25149, 25150, 25151",D1677 8906,With accessoriesWith anti-squeal shim,
ISUZU,"D-MAX II (TFR, TFS)",06/12,>,3.0 CRDi 4x4 (TFS85J),06/12,>,130,177,Brake discs,Prime,09.C244.10,300mm,27mm,40mm,,6,Ventilated,88mm,25mm,,2,,,,,,
ISUZU,"D-MAX II (TFR, TFS)",06/12,>,3.0 CRDi 4x4 (TFS85J),06/12,>,130,177,Brake discs,Xtra,09.C244.1X,300mm,27mm,40mm,,6,Ventilated,88mm,25mm,,2,,,,,,
ISUZU,"D-MAX II (TFR, TFS)",06/12,>,3.0 CRDi 4x4 (TFS85J),06/12,>,130,177,Brake pads,Prime,P 34 007,,17mm,61mm,152mm,,,,,,,Akebono,Acoustic,"25149, 25150, 25151",D1677 8906,With accessoriesWith anti-squeal shim,
ISUZU,"D-MAX II (TFR, TFS)",06/12,>,3.0 CRDi 4x4 (TFS85J),06/12,>,130,177,Brake pads,Prime Ceramic,P34007N,,17mm,61mm,152mm,,,,,,,Akebono,Acoustic,"25149, 25150, 25151",D1677 8906,With accessoriesWith anti-squeal shim,
ISUZU,"D-MAX II Platform/Chassis (TFR, TFS)",06/12,>,3.0 CRDi,06/12,05/20,130,177,Brake discs,Prime,09.B267.10,280mm,27mm,40mm,,6,Ventilated,88mm,"25,6mm",118Nm,2,,,,,,
ISUZU,"D-MAX II Platform/Chassis (TFR, TFS)",06/12,>,3.0 CRDi,06/12,05/20,130,177,Brake discs,Xtra,09.B267.1X,280mm,27mm,40mm,,6,Ventilated,88mm,"25,6mm",118Nm,2,,,,,,
ISUZU,"D-MAX II Platform/Chassis (TFR, TFS)",06/12,>,3.0 CRDi,06/12,05/20,130,177,Brake discs,Prime,09.C244.10,300mm,27mm,40mm,,6,Ventilated,88mm,25mm,,2,,,,,,
ISUZU,"D-MAX II Platform/Chassis (TFR, TFS)",06/12,>,3.0 CRDi,06/12,05/20,130,177,Brake discs,Xtra,09.C244.1X,300mm,27mm,40mm,,6,Ventilated,88mm,25mm,,2,,,,,,
ISUZU,"D-MAX II Platform/Chassis (TFR, TFS)",06/12,>,3.0 CRDi,06/12,05/20,130,177,Brake pads,Prime,P 34 007,,17mm,61mm,152mm,,,,,,,Akebono,Acoustic,"25149, 25150, 25151",D1677 8906,With accessoriesWith anti-squeal shim,
ISUZU,"D-MAX II Platform/Chassis (TFR, TFS)",06/12,>,3.0 CRDi,06/12,05/20,130,177,Brake pads,Prime Ceramic,P34007N,,17mm,61mm,152mm,,,,,,,Akebono,Acoustic,"25149, 25150, 25151",D1677 8906,With accessoriesWith anti-squeal shim,
ISUZU,"D-MAX II Platform/Chassis (TFR, TFS)",06/12,>,3.0 CRDi 4x4,06/12,05/20,130,177,Brake discs,Prime,09.B267.10,280mm,27mm,40mm,,6,Ventilated,88mm,"25,6mm",118Nm,2,,,,,,
ISUZU,"D-MAX II Platform/Chassis (TFR, TFS)",06/12,>,3.0 CRDi 4x4,06/12,05/20,130,177,Brake discs,Xtra,09.B267.1X,280mm,27mm,40mm,,6,Ventilated,88mm,"25,6mm",118Nm,2,,,,,,
ISUZU,"D-MAX II Platform/Chassis (TFR, TFS)",06/12,>,3.0 CRDi 4x4,06/12,05/20,130,177,Brake discs,Prime,09.C244.10,300mm,27mm,40mm,,6,Ventilated,88mm,25mm,,2,,,,,,
ISUZU,"D-MAX II Platform/Chassis (TFR, TFS)",06/12,>,3.0 CRDi 4x4,06/12,05/20,130,177,Brake discs,Xtra,09.C244.1X,300mm,27mm,40mm,,6,Ventilated,88mm,25mm,,2,,,,,,
ISUZU,"D-MAX II Platform/Chassis (TFR, TFS)",06/12,>,3.0 CRDi 4x4,06/12,05/20,130,177,Brake pads,Prime,P 34 007,,17mm,61mm,152mm,,,,,,,Akebono,Acoustic,"25149, 25150, 25151",D1677 8906,With accessoriesWith anti-squeal shim,
ISUZU,"D-MAX II Platform/Chassis (TFR, TFS)",06/12,>,3.0 CRDi 4x4,06/12,05/20,130,177,Brake pads,Prime Ceramic,P34007N,,17mm,61mm,152mm,,,,,,,Akebono,Acoustic,"25149, 25150, 25151",D1677 8906,With accessoriesWith anti-squeal shim,
ISUZU,"D-MAX III (TFR, TFS)",06/19,>,"1.9 DDI (TFR87J, TFR87)",11/19,>,110,150,Brake pads,Prime,P 34 007,,17mm,61mm,152mm,,,,,,,Akebono,Acoustic,"25149, 25150, 25151",D1677 8906,With accessoriesWith anti-squeal shim,
ISUZU,"D-MAX III (TFR, TFS)",06/19,>,"1.9 DDI (TFR87J, TFR87)",11/19,>,110,150,Brake pads,Prime Ceramic,P34007N,,17mm,61mm,152mm,,,,,,,Akebono,Acoustic,"25149, 25150, 25151",D1677 8906,With accessoriesWith anti-squeal shim,
ISUZU,"D-MAX III (TFR, TFS)",06/19,>,"1.9 DDI (TFR87J, TFR87)",11/19,>,110,150,Brake pads,Prime,P 34 013,,17mm,58mm,152mm,,,,,,,,Acoustic,"26708, 26709, 26811, 26812",,With anti-squeal shim,
ISUZU,"D-MAX III (TFR, TFS)",06/19,>,"1.9 DDI (TFR87J, TFR87)",11/19,>,110,150,Brake pads,Prime Ceramic,P34013N,,17mm,58mm,152mm,,,,,,,,Acoustic,"26708, 26709, 26811, 26812",,With anti-squeal shim,
ISUZU,"D-MAX III (TFR, TFS)",06/19,>,"1.9 DDI (TFR87J, TFR87)",11/19,>,110,150,Brake pads,Prime,P 34 014,,17mm,61mm,152mm,,,,,,,,Acoustic,"26534, 26535, 26734, 26735",,With accessoriesWith anti-squeal shim,
ISUZU,"D-MAX III (TFR, TFS)",06/19,>,"1.9 DDI (TFR87J, TFR87)",11/19,>,110,150,Brake pads,Prime Ceramic,P34014N,,17mm,61mm,152mm,,,,,,,,Acoustic,"26534, 26535, 26734, 26735",,With accessoriesWith anti-squeal shim,
ISUZU,"D-MAX III (TFR, TFS)",06/19,>,1.9 DDI 4x4 (TFS87J),11/19,>,110,150,Brake pads,Prime,P 34 007,,17mm,61mm,152mm,,,,,,,Akebono,Acoustic,"25149, 25150, 25151",D1677 8906,With accessoriesWith anti-squeal shim,
ISUZU,"D-MAX III (TFR, TFS)",06/19,>,1.9 DDI 4x4 (TFS87J),11/19,>,110,150,Brake pads,Prime Ceramic,P34007N,,17mm,61mm,152mm,,,,,,,Akebono,Acoustic,"25149, 25150, 25151",D1677 8906,With accessoriesWith anti-squeal shim,
ISUZU,"D-MAX III (TFR, TFS)",06/19,>,1.9 DDI 4x4 (TFS87J),11/19,>,110,150,Brake pads,Prime,P 34 013,,17mm,58mm,152mm,,,,,,,,Acoustic,"26708, 26709, 26811, 26812",,With anti-squeal shim,
ISUZU,"D-MAX III (TFR, TFS)",06/19,>,1.9 DDI 4x4 (TFS87J),11/19,>,110,150,Brake pads,Prime Ceramic,P34013N,,17mm,58mm,152mm,,,,,,,,Acoustic,"26708, 26709, 26811, 26812",,With anti-squeal shim,
ISUZU,"D-MAX III (TFR, TFS)",06/19,>,1.9 DDI 4x4 (TFS87J),11/19,>,110,150,Brake pads,Prime,P 34 014,,17mm,61mm,152mm,,,,,,,,Acoustic,"26534, 26535, 26734, 26735",,With accessoriesWith anti-squeal shim,
ISUZU,"D-MAX III (TFR, TFS)",06/19,>,1.9 DDI 4x4 (TFS87J),11/19,>,110,150,Brake pads,Prime Ceramic,P34014N,,17mm,61mm,152mm,,,,,,,,Acoustic,"26534, 26535, 26734, 26735",,With accessoriesWith anti-squeal shim,
ISUZU,"D-MAX III (TFR, TFS)",06/19,>,3.0 DDI (TFR40J),11/19,>,140,190,Brake pads,Prime,P 34 013,,17mm,58mm,152mm,,,,,,,,Acoustic,"26708, 26709, 26811, 26812",,With anti-squeal shim,
ISUZU,"D-MAX III (TFR, TFS)",06/19,>,3.0 DDI (TFR40J),11/19,>,140,190,Brake pads,Prime Ceramic,P34013N,,17mm,58mm,152mm,,,,,,,,Acoustic,"26708, 26709, 26811, 26812",,With anti-squeal shim,
ISUZU,"D-MAX III (TFR, TFS)",06/19,>,3.0 DDI (TFR40J),11/19,>,140,190,Brake pads,Prime,P 34 014,,17mm,61mm,152mm,,,,,,,,Acoustic,"26534, 26535, 26734, 26735",,With accessoriesWith anti-squeal shim,
